"Designator","Comment","Footprint","JLCPCBPart#"
"C1, C2, C18, C19, ","10nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C263180"
"C3, C4, ","100uF","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","C88859"
"C5, C6, C7, C9, C12, C13, C17, C20, ","100nF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C400087"
"C8, C10, C14, C21, ","1uF","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","C94708"
"C11, C15, ","2.2uF","sputterizer:CP_Radial_Tantal_D4.5mm_P5.00mm_Min","C50520"
"C16, ","270p","Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm","C263193"
"D1, D2, D7, D15, D16, D19, D20, ","1N5711","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","C283247"
"D6, D13, ","1N4148","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","C84412"
"D8, ","1N5819","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_AnodeUp","C110032"
"D9, ","1N5819","Diode_THT:D_DO-41_SOD81_P2.54mm_Vertical_KathodeUp","C110032"
"Q1, ","2N3904","digikey-footprints:TO-92-3_Formed_Leads","C258185"
"R1, R5, R6, R11, R15, R22, ","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C120103"
"R2, R3, R4, R10, R14, ","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C66649"
"R7, R12, R24, R26, R27, R31, ","100K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C410694"
"R8, ","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C120103"
"R9, R13, ","43K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C433719"
"R17, ","324K 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C1369146"
"R18, ","68K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C70783"
"R19, R20, ","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C129899"
"R23, R28, ","300K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C173001"
"R29, ","200K .1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C172982"
"R30, ","95.3K 1%","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","C172602"
"SK1, SK2, SK3, SK5, ","A_08-LC-TT","Package_DIP:DIP-8_W7.62mm_Socket","none"
"SK4, ","A_14-LC-TT","digikey-footprints:Socket_DIP-14_7.62mm_Conn","none"
"SW2, SW3, SW4, SW5, SW6, SW7, SW8, ","Push Button","Button_Switch_THT:SW_PUSH_6mm","C266209"
"U1, U3, ","TL072CP","Package_DIP:DIP-8_W7.62mm_Socket","C72124"
"U2, ","CD4013BE","Package_DIP:DIP-14_W7.62mm_Socket","C132508"
"U4, ","MC78L05_TO92","Package_TO_SOT_THT:TO-92_Inline_Wide","C156437"
"U5, ","LP2950-3.3_TO92","digikey-footprints:TO-92-3_Formed_Leads","C133551"
"U6, ","MAX7480","Package_DIP:DIP-8_W7.62mm_Socket_LongPads","C72124"
"U7, ","MB85RC256","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C47538"
"U8, ","MCP6002-E/P","Package_DIP:DIP-8_W7.62mm_Socket","C72124"
