Designator,Mid X,Mid Y,Rotation,Layer
C1,26,41,0,top
C2,23.5,41,180,top
C3,1.28,100.18,180,top
C4,-2.04,91.02,0,top
C5,18.5,94.45,180,top
C6,18.5,97.05,180,top
C7,10.7,40.75,0,top
C8,11,57.5,0,top
C9,44.7,25.7,180,top
C10,43.4848,4.572,180,top
C11,-2.25,39.5,-90,top
C12,27.4,24.3,90,top
C13,16.6,16.65,90,top
C14,-2.85,32,-90,top
C15,-2.25,49.75,90,top
C17,-2.47,71.08,0,top
C18,30.5,9,-90,top
C19,49.022,63.754,180,top
D1,53.23,45.52,-90,top
D2,-2.794,9.652,-90,top
D3,46.16,101.5,0,top
D4,46.16,71.5,0,top
D5,3,44,0,top
D6,53.23,28,90,top
D7,-2.794,19.812,-90,top
D13,41.5,2,180,top
D14,26.47,34.7,180,top
D15,53.086,24.892,-90,top
D16,53.086,14.732,-90,top
D19,15.93,53.46,-90,top
D20,15.97,43.46,180,top
J1,4.5,52.5,90,top
J3,46,93,90,top
J4,46,80,90,top
J5,46,52.5,90,top
J6,4.5,25.5,90,top
J9,21.44,98,0,top
Q2,31.25,82.75,-90,top
Q3,27.36,80.54,90,top
Q4,35.25,94.25,0,top
Q5,27.75,89.75,0,top
Q7,36,82.75,-90,top
Q8,35.25,89.75,0,top
R1,19.8,36.9,180,top
R2,52.65,97.5,90,top
R3,36.75,25.75,90,top
R4,19.8,33.7,180,top
R5,36.95,51.68,-90,top
R6,24.6,60.8,0,top
R7,15.5,1.64,90,top
R8,19,60.8,180,top
R9,10.25,30.5,-90,top
R10,40.5,86.25,180,top
R11,27.55,11.9,-90,top
R12,6.12,80.9,-90,top
R13,6.35,83.82,90,top
R14,24.5,11.9,-90,top
R15,30.4,26.4,90,top
R16,22.75,94.75,0,top
R17,9.63,93.94,-90,top
R18,3.1,84.836,-90,top
R19,52.5,85,90,top
R20,40.25,73.25,90,top
R21,52.5,72.35,90,top
R23,14.8,28.5,0,top
R24,25,24.5,180,top
R26,30.4,14.1,90,top
R27,21.5,1.7,90,top
R28,18.5,11.8,-90,top
R29,19.81,77.724,180,top
R30,9.61,80.83,0,top
R31,22.85,80.83,90,top
RV1,12,15,180,top
SW1,19.5,51,0,top
SW2,13.5,101.75,90,top
SW3,32.5,101.75,90,top
SW4,2,33.5,90,top
SW5,27.25,63.9,90,top
SW6,10.5,63.9,90,top
SW7,18.75,63.9,90,top
SW8,35.5,63.9,90,top
TP1,9.75,3,0,top
U1,12.4,91.55,0,top
U2,37,22.75,0,top
U3,27.25,21.75,-90,top
U4,11.75,50.038,90,top
U5,-2.25,42.125001,90,top
U6,-2.45,67.99,0,top
